Abstract Number,DOI,Title,Abstract,Battery_Type,Recycling_Process_Used,Process_Conditions/Battery_Properties,Recovered_Materials (from abstract),Final Max Temperature,Recovered Materials,Efficiencies,Type of %,Recovered Element 1,Efficiency 1 (%),Recovered Element 2,Efficiency 2 (%),Recovered Element 3,Efficiency 3 (%),Recovered Element 4,Efficiency 4 (%),Recovered Element 5,Efficiency 5 (%),Total Cost Approx. ($),Total Energy Approx. (J)
100,10.1016/j.apenergy.2023.120900,A methodology to liberate critical metals in waste solar panel,"The availability of critical metals is one of the driving factor to secure the transition of energy production to a renewable, low carbon one because of the material requirement in photovoltaic technology (PV), wind power generation and batteries. For example, precious metals are vital to manufacture crystalline silicon solar panel and tellurium, germanium, indium and gallium are essential in thin film photovoltaic panels. However, the pressure on the supply of critical metals increases with the growth of photovoltaics. Considering the resource availability, the recycling of critical metals from waste solar panels can enhance the sustainability of end-of-life management, although the recycled metal input is limited in present state. Among the recycling techniques, the separation and liberation of metals from non-metals are crucial. This study investigate a methodology to liberate thin film materials from copper indium gallium selenide (CIGS) thin-film solar panel to recycle photovoltaic material including indium and gallium via a mechanical process. An experimental technique using mineral processing techniques, crushing and grinding, are proposed to recycle critical metals from CIGS solar panel. In this study, the crushing experiments were conducted and the size based elemental distribution was analysed. The results showed crushing is capable to delaminate glass substrate and Fuerstenau upgrading curves and the ore separation degree were used to show that selective liberation occurs and the critical metals concentrate in coarse size fraction but may not be fully liberated. The morphology test using SEM-EDS to observe the surface of broken panel and the classification of broken particle based on size, metal concentration and surface morphology were conducted. The results suggested that approximately 90 w% of functional materials are still laminated on EVA in the size fraction larger greater than 2360 Î¼m. It shows crushing alone will not fully liberate the material. Grinding can be used as a second stage recycling method, de-coating the target materials. The grinding test resulted in a more than 80 w% recovery rate of indium and the fine particle less than 38 Î¼m contains more than 1500 ppm indium, more than 480 ppm gallium and 1500 ppm molybdenum. It could show that the combination of crushing and grinding is suitable to delaminate the panel and de-coat the critical metals to liberate and concentrate the metals.",Lithium-ion batteries (LIBs),leaching and precipitation process,"pH: 2.0, H2SO4: 1.0 M, H2O2: 1.0 M, leaching time: 120 min, recovery rate: 98.44%, pulp density: 100 g/L, leaching temperature: 80 Â°C","lithium, nickel, cobalt, manganese, iron",80,Indium (In),80,recovery rate,In,80%,,,,,,,,,Can't be calculated,Can't be calculated
106,10.1016/j.jhazmat.2023.132150,Recovery of valuable metals from spent lithium-ion batteries through biomass pyrolysis gas-induced reduction,"The development of spent lithium-ion batteries (LIBs) recycling technologies can effectively alleviate environmental pressure and conserve metal resources. We propose a win-win strategy for pyrolysis gas reduction by lignocellulosic biomass, ensuring gas-induced reduction by spatial isolation of biomass and lithium transition metal oxides (LiTMOX (TM = Ni, Co, Mn)), and avoiding the separation of solid carbon and TMOX (TM = Ni, Co, Mn). In the spent LiCoO2 batteries, the lithium recovery efficiency reaches 99.99% and purity reaches 98.3% at 500 Â°C. In addition, biomass pyrolysis gas reduction is also applicable to treat spent LiMn2O4 and LiNi0.6Co0.2Mn0.2O2 batteries. Thermodynamic analysis verifies that CO dominates the gas reduction recovery process. DFT calculation indicates that the gas reduction induces the collapse of the oxygen framework of LiTMOX (TM = Ni, Co, Mn). Everbatt-based economic and environmental analysis illustrates that this is an environment-friendly and energy-saving method.",Lithium-ion batteries (LIBs),pyrolysis gas reduction by lignocellulosic biomass,500 Â°C,lithium recovery efficiency reaches 99.99% and purity reaches 98.3%,500,Lithium (Li),99.99,recovery efficiency,Li,99.99%,,,,,,,,,0.835,2031636.816
110,10.1016/j.wasman.2020.05.030,Organics removal combined with in situ thermal-reduction for enhancing the liberation and metallurgy efficiency of LiCoO2 derived from spent lithium-ion batteries,"Liberation and reduction of cathode material are the necessary procedures for improving the recycling efficiency of cathode material derived from spent lithium-ion batteries. In this research work, a pyrolysis technology was utilized to remove the organic binder and enhance liberation of electrode materials. At the same time, pyrolysis treatment can facilitate the thermal-reduction of Co3+ in LiCoO2 to Co2+ with surface organics, which lays a foundation for the subsequent reductant-free acid leaching. Results indicate that the crystal structure of pure LiCoO2 is not changed at a pyrolysis temperature of 600â€¯Â°C, but LiCoO2 transforms to CoO, Li2CO3, LiF, and Li2O under the reduction action of HF, pyrolytic carbon, and additive carbon black. Water-impact crushing is synchronized with water-leaching to separate electrode materials from aluminum foil and recover Li element. Afterwards, reductant-free acid leaching technology can be utilized to recycle Li and Co from spent LiCoO2 batteries. Recovery efficiency of Li element in water-leaching process was up to 92.17% while the remaining 7.83% of Li and all Co elements were recovered during reductant-free acid leaching process. Based on the foundation analysis, the green chemical process for recovering valuable metals from spent lithium-ion batteries was proposed.",Lithium-ion batteries (LIBs),"pyrolysis technology, acid leaching","600â€¯Â°C, HF, pyrolytic carbon, additive carbon black, water-impact crushing, reductant-free acid leaching","lithium element, cobalt element",600,Lithium (Li),92.17,recovery efficiency,Li,92.17%,,,,,,,,,653.805,2262902.538
117,10.1016/j.scitotenv.2023.166095,Recycling of waste lithium-ion batteries via a one-step process using a novel deep eutectic solvent,"Deep eutectic solvents (DESs) possess excellent solubility and selectivity, making them suitable for extracting valuable metals and serving as a green alternative in the recycling process. This work introduces a low-viscosity DES consisting of dimethylthetin, oxalic acid, and water for the comprehensive recovery of cathode materials from LIBs. Leaching parameters such as ratio (1:1), leaching temperature (60 Â°C), and reaction time (15 min) for were systematically optimized, resulting in a selective separation efficiency of 99.98 % for lithium ions. Furthermore, in-situ regeneration of the precursor can be achieved during the leaching process. Charge-discharge tests indicate that the initial charge and discharge capacities of the regenerated battery are 166.8 mAh/g and 138.4 mAh/g, respectively. The DES demonstrates stability and can be easily recycled by replenishing the consumed components. This proposed strategy facilitates the reintroduction of nonrenewable resources into the supply chain and reduces the environmental impact of heavy metals, aligning with the principles of a circular economy.",Lithium-ion batteries (LIBs),Low-temperature leaching (LTL),"1:1 molar ratio, 60 Â°C, 15 min",cathode materials,60,Lithium (Li),99.98,separation efficiency,Li,99.98%,,,,,,,,,1.67,169286.136
118,10.1016/j.wasman.2021.03.052,Hydrometallurgical enhanced liberation and recovery of anode material from spent lithium-ion batteries,"The efficient recycling of spent anode material (SAM) from spent lithium-ion batteries (LIBs) is generally critical in terms of electronic waste recyclingas well as increasing resource shortage and environmental problems. This research reported a novel and green method to recycle lithium, copper foil, and graphite from SAM by water leaching treatment. The results indicated that 100% of graphite was exfoliated from the anode material and 92.82% leaching efficiency of lithium was obtained under the optimal conditions of 80 Â°C, 60 g/L, 300 rpm, and 60 min, respectively. This finding revealed that the SAM got a full liberation characteristic due to the removal of binder, which produced an ideal leaching lithium efficiency rivaling the acidsâ€™ performance. The mechanism of the liberation of SAM and lithium leaching is presented based on the analysis of results. The graphite was purified and recovered after water leaching treatment. Besides, lithium was recovered in the form of lithium carbonate (Li2CO3), and the copper foil was recovered in a sheet. This study endeavors to develop an economical and environmentally feasible plan to recycle graphite, copper, and lithium from SAM.",Lithium-ion batteries (LIBs),leaching treatment,"80 Â°C, 60 g/L, 300 rpm, 60 min","lithium carbonate (Li2CO3), graphite",80,Lithium (Li),92.82,leaching efficiency,Li,92.82%,,,,,,,,,599.53,235744.236
129,10.1016/j.envres.2024.119865,Selective recovery of manganese from spent ternary lithium-ion batteries for efficient catalytic oxidation of VOCs: Unveiling the mechanism of activity Enhancement in recycled catalysts,"With the widespread application of ternary lithium-ion batteries (TLBs) in various fields, the disposal of spent TLBs has become a globally recognized issue. This study proposes a novel method for reutilizing metal resources from TLBs. Through selective oxidation, manganese in a leaching solution of TLBs was converted into MnO2 with Î±, Î³, and Î´ crystal phases (referred to as T-MnO2) for catalytic oxidation of volatile organic compounds (VOCs), while efficiently separating manganese from high-value metals such as nickel, cobalt, and lithium, achieving a manganese recovery rate of 99.99%. Compared to similar MnO2 prepared from pure materials, T-MnO2 exhibited superior degradation performance for toluene and chlorobenzene, with T90 decreasing by around 30 Â°C. The acidic synthesis environment provided by the leaching solution and the doping of trace metals altered the physicochemical properties of T-MnO2, such as increased specific surface area, elevated surface manganese valence, and improved redox performance and oxygen vacancy properties, enhancing its catalytic oxidation capacity. Furthermore, the degradation pathway of toluene on T-Î³-MnO2 was inferred using thermal desorption-gas chromatography/mass spectrometry (TD-GC/MS) and in-situ DRIFTs. This study provides a novel approach for recycling spent TLBs and treating VOCs catalytically.",Lithium-ion batteries (LIBs),"leaching, oxidation, alkaline leaching, alkaline leaching and electrochemical treatment, alkaline leaching, electrochemical treatment and calcination, alkaline leaching, electrochemical treatment, calcination and roasting","pH: 1.0, H2SO4: 2.0 mol/L, leaching temperature: 100 Â°C, leaching time: 2 h, alkaline leaching: 1.0 mol/L Na2CO3, alkaline leaching time: 2 h, electrochemical treatment: 0.2 Coulomb/g, roasting temperature: 800 Â°C, roasting time: 1 h","Ni, Co, Li",800,Manganese (Mn),99.99,recovery rate,Mn,99.99%,,,,,,,,,0.0182,374362.56
130,10.1016/j.resconrec.2024.107460,Minimized carbon emissions to recycle lithium from spent ternary lithium-ion batteries via sulfation roasting,"Lithium recovery from spent lithium-ion batteries (LIBs) is continuously playing a critical role in the sustainability of Li resources. However, due to the harsh and tedious processes of Li conversion, conventional Li recovery technologies are plagued by excessive carbon emissions from the use of high temperature and the large amount of additional chemical agents. Herein, we proposed a novel Na2S2O8-tuned roasting strategy for Li recovery with > 95 % Li recovery rate at 300 Â°C. The total carbon emission is only 0.44 times of the traditional high-temperature roasting. The low carbon emission is attributed to the high reactivity of Na2S2O8, which lowers the Li conversion barriers. We further constructed cost models to evaluate the carbon emissions and energy consumption. The success of the low-temperature roasting process guides the reduction of carbon emissions during Li extraction and provides the potential for large-scale application of efficient green recovery.",Lithium-ion batteries (LIBs),low-temperature roasting,300 Â°C,lithium,300,Lithium (Li),95,recovery rate,Li,95%,,,,,,,,,417.5,1125978
133,10.1016/j.wasman.2024.07.033,"A comprehensive approach for the recycling of anode materials from spent lithium-ion batteries: Separation, lithium recovery, and graphite reutilization as environmental catalyst","The effective recovery of valuables from anodes coming from spent lithium-ion batteries (LIBs) is of great importance to ensure resource supply and reduce the environmental burden for recycling. In this work, a simple and low energy consumption roasting method was proposed by employing low-temperature eutectic NaOH-KOH as reaction medium, in order to simultaneously separate graphite from Cu foils, extract lithium from it and set it up for reuse as environmental catalyst through one-step water washing process. Our results show that polyvinylidene difluoride (PVDF) was effectively deactivated due to dehydrofluorination/carbonization at a relatively low temperature and short time (150 Â°C, 20 min) when a mass ratio of 1:1 for eutectic NaOH-KOH to spent LIBs anodes was used, yielding 97.3 % of graphite detached. Moreover, a remarkable lithium extraction efficiency of 93.2 % was simultaneously obtained. Afterwards, the reusability of the recycled graphite was tested by employing it as a catalyst for the treatment of a contaminant organic dye (Rhodamine B) in the presence of NaClO. Our results show that a superior NaClO activation was obtained with the addition of recycled graphite, being this fact closely associated to the abundant active sites formed during the long-term charging/discharging cycles in the original battery. The alkaline-mediated roasting process presented in this work presents an energy-saving scheme to efficiently recover useful components from spent anodes, whereas the reusability example highlighted a useful option for repurposing the severely damaged graphite as an environmental catalyst rather than disposing it in landfills, turning waste into a valuable material.",Lithium-ion batteries (LIBs),alkaline-mediated roasting,"150 Â°C, 20 min","graphite, lithium",150,Lithium (Li),93.2,extraction efficiency,Li,93.20%,,,,,,,,,567.8,512870.28
149,10.1016/j.hydromet.2009.10.010,Recovery of cobalt sulfate from spent lithium ion batteries by reductive leaching and solvent extraction with Cyanex 272,"Cobalt sulfate was recovered from crushed and screened prismatic type spent lithium ion batteries (LIBs) containing 5â€“20% Co, 5â€“7% Li, 5â€“10% Ni, 15% organic chemicals, and 7% plastics together with Cu, Al, Fe, and Mn. Cobalt was reductively leached from the âˆ’16 mesh fraction in 1h by stirring with 2M H2SO4 and 6vol.% H2O2, at 60Â°C and 300rpm using a solid/liquid ratio of 100g/L to give a cobalt concentration of 28g/L, corresponding to a leaching efficiency of >99%. Metal ion impurities such as copper, iron, and aluminium were precipitated as hydroxides from solution by adjusting pH to 6.5. Cobalt was then selectively extracted from the purified aqueous phase by equilibrating with 50% saponified 0.4M Cyanex 272 at an equilibrium pH âˆ¼6. The McCabeâ€“Thiele plot predicted 99.9% cobalt extraction in a 2 stage counter-current operation with A/O ratio of 1/2. Separation factors for the extraction of Co/Li and Co/Ni at pH 6 were close to 750. The stripping of the loaded organic phase with 2M H2SO4 produced a solution of 96g/L Co from which pure pigment grade cobalt sulfate could be recovered by evaporation/recrystallisation. Overall, 92% cobalt could be recovered from the spent lithium ion batteries.",Lithium-ion batteries (LIBs),"Leaching, Solvent extraction, Precipitation","1h, 60Â°C, 300rpm, 2M H2SO4 and 6vol.% H2O2, pH 6.5, 2 stage counter-current operation with A/O ratio of 1/2, pH 6",pure pigment grade cobalt sulfate,60,Cobalt (Co),99,leaching efficiency,Co,99%,,,,,,,,,32.8,16632
154,10.1016/j.jece.2024.114346,Selective lithium recovery from waste lithium-ion batteries by H2SO4 roasting focused on process intensification and conversion mechanism,"The purpose of this study is to prove the feasibility, efficiency and selectivity of lithium recovery from waste lithium-ion batteries (LIB) via sulfuric acid roasting-water leaching by thermodynamic analysis and experimental verification. The feasibility was proved by Gibbs free energy calculations and experiments. Then, the effects of H2SO4 concentration, roasting temperature and roasting time were assessed on the leaching rate of valuable metals. The results indicate that the leaching efficiency of lithium increases firstly and then decreases with the increase of H2SO4 concentration, roasting temperature and roasting time, more than 91â€¯% lithium are leached under optimized experimental conditions: 50â€¯wt% H2SO4, roasting temperature of 650Â°C, and roasting time of 2â€¯h. Meanwhile, the selectivity of lithium is up to 88â€¯% which means overwhelming majority lithium have been separated completely. In addition, the factors which cause sintering phenomenon such as high temperature and longtime roasting will change the microstructure of roasted product extremely, which is inconducive to the subsequent water leaching. The investigations of the phase conversion mechanism by thermodynamic simulation and instrumental characterization indicated that the leaching behaviors of valuable metals might be influenced by the different reaction pathways of the compounds while changing roasting conditions. The recovery process can be divided into two stages: the partial structure of LiNi x Co y Mn z O2 was destroyed to form metal sulfates at ambient temperature and the solid phase reaction between unreacted LiNi x Co y Mn z O2 which contained Li+ in the unstable layered structure with transition metal sulfates at high temperature. The fully reduced low-valence states are mainly (NiO)0.75(MnO)0.25 and CoO, and basically all Li within the crystalline LiNi x Co y Mn z O2 was de-intercalated and transformed to soluble Li2SO4. These results further confirm the advantages of H2SO4 roasting on selective Li recovery, and provide a better understanding of conversion mechanism by combining theory and experiments.",Lithium-ion batteries (LIBs),H2SO4 roasting-water leaching,"50â€¯wt% H2SO4, roasting temperature of 650Â°C, roasting time of 2â€¯h",lithium,650,Lithium (Li),91,leaching efficiency,Li,91%,,,,,,,,,751.5,2426778.9
190,10.1016/j.wasman.2023.08.047,Natural and recyclable alginate hydrogels as extracting media for recovering valuable metals of spent lithium-ion batteries from a deep eutectic solvent,"With the aim of achieving carbon neutrality, new policies to promote electric vehicle (EV) deployment have been announced in various countries. As EV sales gain market-share, the demand for batteries is growing very rapidly, and this has raised concerns about the raw-material supply. Therefore, efficient and environmentally friendly recycling methods for lithium-ion batteries (LIBs) are mandatory to properly implement circular economy paradigms in this field. Hydrometallurgical recycling methods are characterized by their selectivity, high product purity as well as low energy consumption. In order to accomplish a close-loop recycling method, in this work we propose the use of a deep eutectic solvent (DES) and alginate hydrogels as leaching reagent and adsorbent, respectively, for their reusability, availability and biodegradability. The solubility and thermal stability of a choline chloride-ethylene glycol based DES (choline chloride: ethylene glycol = 1:2) were investigated, 180 Â°C being regarded as the temperature threshold for this DES, and reaching up to 1.12gCo Lâˆ’1 solubility after 8 h leaching. Moreover, the DES can be reused after the eutectic state recreation with a performance over 80% with respect to the pristine DES. Calcium cross-linked sodium alginate hydrogels, which were immersed in ethylene glycol and dehydrated afterwards, were able to extract cobalt from the leachate with an efficiency of 92%. The aforementioned hydrogels can be reused after desorption and reach 91% of the performance of the pristine ones. The DES together with alginate hydrogel brings therefore a highly efficient and reusable close-loop recycling method.",Lithium-ion batteries (LIBs),"Hydrometallurgical leaching, Calcium cross-linked sodium alginate hydrogels","180 Â°C, 8 h leaching, ethylene glycol",,180,Cobalt (Co),92,leachate with an efficiency of 92%,Co,92%,,,,,,,,,262.4,61824
201,10.1016/j.cep.2021.108507,Process intensification for valuable metals leaching from spent NiMH batteries,"Acid leaching is an essential unit in hydrometallurgy, yet it is time consuming and requires concentrated acids. Process intensification is examined for the leaching of valuable and rare earth elements (REEs), such as Ni, Co, La, Nd, and Ce, from spent nickel metal hydride (NiMH) batteries using subcritical water extraction (SWE) and microwave-assisted extraction (MAE). Results of SWE revealed that HCl performed better than H2SO4 and HNO3. Leaching efficiency increased as reaction temperature increased from 100 to 150Â°C, and it increased with HCl concentration. SWE was very effective using 0.5 N HCl, solid concentration of 20 g/L, initial pressure of 9.8 bar, 100Â°C for 5 min, and leaching efficiency of 99.85% for Ni, 91.72% for Co, 96.26% for La, 85.75% for Nd, and 84.37% for Ce was found, and the total energy consumption was 2,640 kJ. Leaching efficiency of MAE using 0.5 N HCl decreased slightly when heating rate increased from 30 to 70Â°C/min, and it increased as reaction time increased from 5 to 30 min. Compared with SWE and conventional leaching, MAE was the most energy-efficient, and total of 874.1 kJ was required to reach 85.93% for Ni, 77.60% for Co, 64.04% for La, 75.01% for Nd, and 57.17% for Ce, respectively under experimental conditions of 1 N of HCl, solid concentration of 20 g/L, 100Â°C for 5 min. Novel acid leaching methods showed promising potential for metals recovery from e-waste.",nickel metal hydride (NiMH) batteries,"subcritical water extraction (SWE), microwave-assisted extraction (MAE)","0.5 N HCl, solid concentration: 20 g/L, initial pressure: 9.8 bar, 100°C-150°C for 5 min","Ni, Co, La, Nd, Ce",150,Nickel (Ni)|Cobalt (Co)|Lanthanum (La)|Neodymium (Nd)|Cerium (Ce),99.85|91.72|96.26|85.75|84.37,leaching efficiency,Ni,99.85%,Co,91.72%,La,96.26%,Nd,85.75%,Ce,84.37%,47.25115,49444.3378
194,10.1016/j.jallcom.2021.158775,Separation and recovery of valuable metals from spent lithium-ion batteries via concentrated sulfuric acid leaching and regeneration of LiNi1/3Co1/3Mn1/3O2,"Recycling of spent lithium ion batteries (LIBs) is an urgent task in the view of environmental protection, resources reuse and sustainable development of battery industry. Our work presents a new method for recovery of Al foils and cathode materials from LIBs via a simple process. The concentrated sulfuric acid (18.4 M H2SO4) solution are used as both separation and leaching agent. The complete separation of cathode materials from Al foils and the complete leaching of Li are achieved simultaneously after leaching for 1 h at 80 Â°C and solid/liquid ratio of 800 g Lâˆ’1. Under these conditions, the leaching efficiencies of Ni, Co and Mn reached 25.6%, 23.2% and 18.3%, respectively, and the polyvinylidene fluoride (PVDF) binder is partially decomposed. The concentrated sulfuric acid destroys the structures of cathode materials and PVDF but prevents the Al dissolution by formation of the passivation film, which contributes to the separation of cathode materials from Al foils and no loss of Al foil. After removal of Al foils and adding the 4.5 vol% H2O2 solution to further leach the remaining suspension for 70 min at 70 Â°C, and the metals of Ni, Co and Mn in the cathode materials are totally leached into the solution. The amount of H2SO4 consumed by leaching 1 kg cathode pieces was 23 mol, which is less than the required acid consumption for the traditional acid leaching process. The leaching solution is precipitated step by step to obtain high purity Ni1/3Co1/3Mn1/3(OH)2 and Li2CO3. The obtained Ni1/3Co1/3Mn1/3(OH)2 and Li2CO3 are regenerated to LiNi1/3Co1/3Mn1/3O2 materials with excellent electrochemical performance.",nickel metal hydride (NiMH) batteries,Subcritical water extraction (SWE) process with citric acid as the leaching reagent,"2.0 N of citric acid, S/L of 10 g/L, at 150 °C in 5 min, pH 2.0, and 65 °C","rare earth elements (REEs), nickel (Ni), and cobalt (Co)",150,Nickel (Ni)|Cobalt (Co)|Manganese (Mn),25.6|23.2|18.3,leaching efficiency,Ni,25.60%,Co,23.20%,Mn,18.30%,,,,,1331.136,14567.488
186,10.1016/j.ultsonch.2018.05.019,Ultrasound-assisted leaching of cobalt and lithium from spent lithium-ion batteries,"Recovery of cobalt and lithium from spent Li-ion batteries (LIBs) has been studied using ultrasound-assisted leaching. The primary purpose of this work is to investigate the effects of ultrasound on leaching efficiency of cobalt and lithium. The results were compared to conventional leaching. In this study sulfuric acid was used as leaching agent in the presence of hydrogen peroxide. The cathode active materials from spent battery were characterized by X-ray diffraction (XRD) and scanning electron microscopy (SEM) before and after leaching. Effects of leaching time, leaching temperature, H2SO4 concentration, H2O2 concentration, solid/liquid ratio, and ultrasonic power have been studied. Optimal leaching efficiency of 94.63% for cobalt, and 98.62% for lithium, respectively, was achieved by using 2â€¯M H2SO4 with 5%â€¯(v/v) H2O2 at a solid/liquid ratio of 100â€¯g/L, and an ultrasonic power of 360â€¯W, and the leaching time being 30â€¯min under 30â€¯Â°C. Compared with conventional leaching, the ultrasound-assisted leaching gave a higher leaching rate and improved leaching efficiency under the same experimental conditionals. The kinetic analysis of ultrasound-assisted leaching showed that the activation energy of cobalt and lithium were 3.848â€¯KJ/mol and 11.6348â€¯KJ/mol, respectively, indicating that ultrasound-assisted leaching of cobalt and lithium from spent LIBs was controlled by diffusion.",nickel metal hydride (NiMH) batteries,pyrolysis,"1000â€¯Â°C, 2â€¯h, 40â€¯vol.% CO2, 20â€¯vol.% H2O",nickel and cobalt,1000,Cobalt (Co)|Lithium (Li),94.63|98.62,leaching efficiency,Co,94.63%,Li,98.62%,,,,,,,176.136,389497.08
9,10.1016/j.hydromet.2022.105865,Selective leaching of Li from spent LiNi0.8Co0.1Mn0.1O2 cathode material by sulfation roast with NaHSO4â€§H2O and water leach,"Extensive research efforts have been made in recycling spent lithium-ion batteries; however, there has been little focus on the selective recovery of lithium from spent lithium-ion batteries. In this paper, we report a new process for selective extraction of lithium from spent lithium-ion power batteries by roasting a mixture of LiNi0.8Co0.1Mn0.1O2 and NaHSO4Â·H2O followed by water leaching. The most suitable conditions included roasting LiNi0.8Co0.1Mn0.1O2:NaHSO4Â·H2O at 600 Â°C for 30 min in a mass ratio of 1:1.40, followed by water leaching at 60 Â°C for 30 min with a liquid/solid ratio of 25:1 (mL/g). Under the optimal conditions, extraction efficiencies of 99.3%, 0.01%, 3.69%, and 3.90% for Li, Mn, Co, and Ni, respectively, were obtained. X-ray diffraction, in situ X-ray diffraction, scanning electron microscopy, X-ray photoelectron spectroscopy, thermogravimetryâ€“differential scanning calorimetry, and thermogravimetryâ€“mass spectrometry were performed to investigate the transformation of Li, Ni, Co, and Mn in the LiNi0.8Co0.1Mn0.1O2â€“NaHSO4Â·H2O roasting system. The results demonstrated that the SO3 produced by thermal decomposition of NaHSO4Â·H2O considerably affected the transformation of Li, Ni, Co, and Mn in the LiNi0.8Co0.1Mn0.1O2. The surface morphology of the roasted samples showed evidence of sintering and agglomeration. The thermodynamic analysis indicated that the roasting reaction is feasible and that the selective extraction of Li can be achieved by controlling the additive ratio of NaHSO4Â·H2O.","rechargeable batteries, waste saggar",leaching process,5–80 °C,lithium,80,Lithium (Li)|Manganese (Mn)|Cobalt (Co)|Nickel (Ni),99.3|0.01|3.69|3.9,extraction efficiency,Li,99.30%,Mn,0.01%,Co,3.69%,Ni,3.90%,,,58.45,252202.14
20,10.1016/j.jece.2022.109160,Rare metals recycling from spent NCM cathode materials and simultaneous dehydrofluorination of polyvinylidene fluoride (PVDF) in subcritical water,"Several studies have examined the recovery of lithium (Li), nickel (Ni), cobalt (Co), and manganese (Mn) from used lithium-ion batteries (LIBs). However, the environmentally friendly and cost-effective leaching and efficient separation of rare metals from the active cathode material of LIBs remains a challenge. In this study, we present a novel route for the extraction of high-value metals from the NCM cathode material of spent LIBs using subcritical water-containing polyvinylidene fluoride (PVDF). The experimental parameters such as reaction temperature, time, liquidâ€“solid and mass ratios, were carefully investigated. The raw cathode material and the solid residues before and after leaching were characterized using ICP-OES, XRD, FT-IR and SEM-EDS analyses. Results showed that the maximum extraction efficiencies of Li, Ni, Co, and Mn of (98.69, 98.24, 97.52, and 99.04) %, respectively, were achieved under the optimized conditions of 350 Â°C, 2 h, 1:3 mass ratio, and 60:1 mL/g liquidâ€“solid ratio. Meanwhile, the experimental results of leaching kinetics revealed that the reaction in the system was controlled by the surface chemical reaction model with the linear fitting degree of (R2 = 0.97â€“0.99) and the calculated activation energies of 63.72 kJ/mol (for Li), 73.55 kJ/mol (for Ni), 74.99 kJ/mol (for Co), and 71.88 kJ/mol (for Mn). The overall findings of this research concluded that the PVDF-assisted subcritical water extraction process is a beneficial and a promising alternative to other existing methods.",zinc-carbon batteries,Low temperature roasting technique,800 °C and 900 °C,zinc and manganese,900,Lithium (Li)|Nickel (Ni)|Cobalt (Co)|Manganese (Mn),98.69|98.24|97.52|99.04,extraction efficiency,Li,98.69%,Ni,98.24%,Co,97.52%,Mn,99.04%,,,Can't be calculated,Can't be calculated
